,regional_geocode,geocode
1366,35152,3547403
1367,35014,3534401
1368,35013,3552809
1369,35153,3549003
1370,35065,3555901
1371,35154,3549201
1372,35072,3552403
1373,35111,3549300
1374,35073,3556503
1375,35163,3502754
1376,35081,3549508
1377,35072,3548005
1378,35061,3553005
1379,35173,3550704
1380,35052,3556909
1381,35013,3549953
1382,35092,3553955
1383,35161,3550209
1384,35063,3554656
1385,35052,3553658
1386,35143,3550803
1387,35031,3554755
1388,35094,3554607
1389,35061,3554201
1390,35161,3551108
1391,35061,3551207
1392,35031,3506706
1393,35132,3551504
1394,35022,3552304
1395,35013,3556453
1396,35071,3554953
1397,35111,3555109
1398,35072,3556701
1399,35071,3556354
1400,35094,3557204
1401,35156,3557154
1402,35041,3506359
1403,35162,3505351
1404,35063,3506904
1405,35121,3505401
1406,35073,3508405
1407,35015,3547809
1408,35061,3521804
1409,35151,3533502
1410,35156,3529500
1411,35061,3535804
1412,35115,3554300
1413,35063,3540507
1414,35114,3541307
1415,35113,3541703
1416,35071,3538600
1417,35091,3500105
1418,35061,3504503
1419,35141,3522604
1420,35023,3505104
1421,35155,3540804
1422,35103,3510401
1423,35032,3507407
1424,35081,3513207
1425,35151,3514957
1426,35093,3516705
1427,35073,3525201
1428,35091,3527405
1429,35052,3556800
1430,35157,3510708
1431,35151,3556008
1432,35064,3507902
1433,35141,3557303
1434,35153,3555802
1435,35022,3537404
1436,35155,3519402
1437,35083,3524105
1438,35062,3527504
1439,35094,3534708
1440,35131,3540903
1441,35112,3542404
1442,35081,3543600
1443,35142,3548104
1444,35094,3550506
1445,35112,3553906
1446,35091,3534609
1447,35064,3505302
1448,35131,3540200
1449,35143,3549706
1450,35163,3554508
1451,35062,3506003
1452,35131,3551702
1453,35132,3550902
1454,35142,3549102
1455,35104,3546702
1456,35094,3533809
1457,35171,3508504
1458,35072,3520509
1459,35013,3515103
1460,35041,3518701
1461,35143,3510807
1462,35161,3511607
1463,35095,3519204
1464,35063,3512308
1465,35061,3512605
1466,35091,3516002
1467,35093,3516606
1468,31036,3171907
1469,35093,3509809
1470,35154,3515202
1471,35092,3513306
1472,35023,3512506
1473,35153,3513850
1474,35033,3510104
1475,35103,3511706
1476,35072,3512803
